_id,t,o
AGO_PRK,0.000,1.101
AGO_PRT,0.000,0.728
AGO_PRY,0.000,1.202
AGO_PSE,0.000,0.751
AGO_PYF,0.000,0.874
AGO_QAT,0.000,0.781
AGO_REU,0.000,n.a.
AGO_ROU,0.000,0.879
AGO_RUS,0.000,1.415
AGO_RWA,0.000,1.148
AGO_SAU,0.000,1.197
AGO_SDN,0.000,1.253
AGO_SEN,0.000,0.692
AGO_SGP,0.000,0.770
AGO_SHN,0.000,n.a.
AGO_SLB,0.000,0.867
AGO_SLE,0.000,0.715
AGO_SLV,0.000,0.786
AGO_SMR,0.000,0.824
AGO_SOM,0.000,0.976
AGO_SPM,0.000,n.a.
AGO_SRB,0.000,0.906
AGO_STP,0.000,0.582
AGO_SUR,0.000,0.733
AGO_SVK,0.000,0.949
AGO_SVN,0.000,0.789
AGO_SWE,0.000,0.961
AGO_SWZ,0.000,0.743
AGO_SYC,0.000,0.686
AGO_SYR,0.000,0.880
AGO_TCA,0.000,0.719
AGO_TCD,0.000,1.208
AGO_TGO,0.000,0.632
AGO_THA,0.000,0.889
AGO_TJK,0.000,1.528
AGO_TKL,0.000,n.a.
AGO_TKM,0.000,1.503
AGO_TLS,0.000,0.873
